Příjmení	Jméno	Test A	Test B	Test C	Test D	Test D	Test 6
Krčmarský	Stanislav	B	D	D	A	D	A
Švára	Vladimír	D	A	D	B	B	D
Barvíková	Erika	A	D	A	C	B	D
Swárovský	David	B	C	A	D	A	D
Viktorin	Miloslav	D	D	D	C	B	B
Tichá	Jana	A	C	D	A	A	D
Le Thi Kim	Iveta	D	B	D	C	B	A
Grymová	Milena	B	C	A	C	B	B
Tylšová	Zdeňka	D	A	A	A	B	D
Németh	Pavel	A	D	A	C	D	D
Fialová	Jaroslava	D	A	D	D	A	B
Kargeradová	Agáta	C	B	A	A	B	A
Bartyzalová	Jarmila	D	C	B	B	A	A
Michalica	Jiří	D	C	D	A	D	B
Lauerová	Tereza	A	D	A	C	A	D
Veselá	Barbora	C	A	C	B	C	C
Bartoš	Milan	A	B	A	B	A	A
Sál	Vratislav	D	A	C	B	A	D
Flieger	Přemysl	A	C	B	A	A	D
Matlachová	Martina	A	A	C	D	D	C
Abraham	Jan	B	B	A	D	A	A
Koubská	Monika	B	B	D	C	D	C
Špaček	Roman	A	A	D	A	D	A
Horníková	Ludmila	B	B	D	A	D	A
